,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.01,1000,0,3605,14161,7148,4217,4.623829,14.261559,0.999445,0.853994
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.02,1000,0,3605,14161,7148,4016,4.623829,14.261559,0.997226,0.892946
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.03,1000,0,3605,14161,7148,3914,4.623829,14.261559,0.996117,0.914206
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.04,1000,0,3605,14161,7148,3828,4.623829,14.261559,0.99251,0.928145
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.05,1000,0,3605,14161,7148,3775,4.623829,14.261559,0.989736,0.935992
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.06,1000,0,3605,14161,7148,3730,4.623829,14.261559,0.984189,0.936889
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.07,1000,0,3605,14161,7148,3681,4.623829,14.261559,0.975867,0.933652
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.08,1000,0,3605,14161,7148,3630,4.623829,14.261559,0.967822,0.931393
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.09,1000,0,3605,14161,7148,3599,4.623829,14.261559,0.960333,0.925174
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.1,1000,0,3605,14161,7148,3575,4.623829,14.261559,0.95534,0.921842
,CA-HepTh_component,8638,24827,0.000333,3605,46,0.15,1000,0,3605,14161,7148,3376,4.623829,14.261559,0.909015,0.884719
,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.01,5,0,4579,98026,2693,3561,0.902776,8.622745,0.777681,0.777681
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.02,5,0,4579,98026,2693,3121,0.902776,8.622745,0.68159,0.68159
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.03,5,0,4579,98026,2693,2855,0.902776,8.622745,0.623499,0.623499
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.04,5,0,4579,98026,2693,2659,0.902776,8.622745,0.580694,0.580694
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.05,5,0,4579,98026,2693,2472,0.902776,8.622745,0.539856,0.539856
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.06,5,0,4579,98026,2693,2274,0.902776,8.622745,0.496615,0.496615
